,start,end,text,labels
28126,5544,5674,charge sheet filed accused offence punishable section read section indian penal code,fac
20218,10593,10654,notice served advocate june p,fac
11472,2054,2302,complainant caused legal notice r p c p notice sent r p share addressee station ' notice sent c p deemed served accused,fac
17990,16547,16743,appeal assessee income tax appellate tribunal held payment rs lakhs assessee company capital expenditure instead revenue expenditure,fac
24986,3547,4234,relevant portion order passed cit reproduced hereinbelow “ authorized representative applicant stated written submission following documents filed prove identity share applicants copies certificate incorporation respect corporate applicants copy memorandum articles association corporate applicants copies acknowledgement returns filed income tax orders case applicants sworn affidavits applicants regarding investment appellant company copy bank accounts shareholders,fac
27296,3220,3400,petitioners distributors lottery tickets sale state maharashtra various states organizing conducting promoting lotteries india,fac
1445,2065,2218,accusedappellant thereafter orchestrated entire incident suicide hanging deceased roof help white bedsheet,fac
26452,1135,1222,appellant mother kumar accused parshuram accused,fac
5886,1827,2069,day p driver one dumper bearing orl maa santoshi transport brought iron ore crusher unit parked vehicle front gate way vehicle could come inside gate,fac
24612,14457,14569,allottees given believe tax would levied purchases,fac
17072,1869,1992,death father years plaintiff inherited right late father suit schedule properties,fac
10764,3412,3729,prosecution version incident night may two appellants along accused persons went house shah alam teach lesson report business partner faheem khan lodged earlier afternoon assaulting,fac
13255,6225,6310,next morning gone hospital thereafter came back village,fac
27073,6366,6528,petitioners crl mis accused named fir complaint accused named remand application respectively,fac
710,6034,6078,gone auction field,fac
18550,3166,3421,assessee aggrieved reassessment order dated passed section act preferred appeal commissioner income tax appeals ii bangalore short appellate authority ' various grounds,fac
13551,9507,9678,contended suit barred limitation suit properly valued court fee paid insufficient thereby prayed dismissal suit,fac
18730,3435,3459,shashi mohan fell,fac
8907,7622,7943,order appreciate point issue may necessary extract relevant portion order appellate collector runs thus adjudication therefore suffers lack principle natural justice inasmuch adequate opportunities given appellant defend case,fac
7101,5310,5448,persons village namely bhaurao shamrao laxman vithal gyanoba arjun malgonda intervened pacified quarrel,fac
3885,6731,6904,also revealed tenants paying rents shri nagesh late krishnappa sold property shri nilakanth sanikop purchased property,fac
11289,6918,7199,notice dated annexure iv superintendent taxes alleged exhibitors unauthorisedly collecting tax movie goers accordingly demand made deposit collected amount else tax would assessed assam act,fac
26343,7761,7854,completion investigation submitted charge sheet nine accused persons,fac
13892,10581,10679,sentences run concurrent accused filed appeals convictions,fac
19834,4278,4307,hole heart,fac
27711,1706,2246,alleged complaint complainant police constables official duty apprehend accused charged offence u ipc offences cr searching accused halasur chamalapura mullur dadadahalli villages p reached mullur chamalapura village near channel found person carrying plastic bag motorbike seeing left bag motor bike ran away place,fac
24423,17350,17474,statement made presence pw another severed head recovered memo ex pw b,fac
22002,3065,3203,respondent excise contractor taken auction exclusive privilege tosell liquors retail approved shop premises,fac
12103,3167,3243,pw conducted autopsy dead body deceased,fac
13365,10648,10759,general diary entry proved ext first information report occurrence,fac
26137,7515,7651,appeals said order dismissed itat vide order dated th september ita nos del del,fac
26968,2459,2465,j,fac
23477,12680,12788,contusion x parallel earth extending upper inner end injury,fac
5279,11285,11337,thus addition using water temple,fac
24260,3902,3979,order passed court reads hence petitions allowed,fac
5258,8180,8363,may presented second running bill rs odd though apparently cheque prepared handed complainant work defective,fac
3561,5760,5948,p brother law tarabai name krishna came told appellant killed wife manjubai wanted make phone call,fac
3871,3728,4108,shri b srinivasan furtherance criminal conspiracy accused dishonestly abusing official position agm branch head vijaya bank mayohall branch fraudulently considered loan application processed loan proposals gross violation rules regulations vijaya bank regard order favour accused persons,fac
3711,6200,6396,alleged plaintiff age years run away house whereabouts known presuming dead defendants performed obsequies,fac
22197,5209,5335,course spot panchanama found bangle pieces one empty packet condom one used condom one blouse hook,fac
8220,1721,1923,appellant society filed return income assessment year claiming deduction section p act total income declared 'nil ',fac
17273,2533,2794,order substantiate case prosecution examined many three witnesses p w si excise p w excise staff accompanied p w alleged patrolling duty p w independent seizure witness,fac
24413,15802,15968,appellant pointed pw owner dhaba latter identified appellant one seen company deceased consumed liquor,fac
26929,3804,3949,hon'ble court got vide ample power exercise allow compromise petition quash trial court proceedings,fac
10162,3993,4471,even though appellant well respondent represented counsels however considering said learned counsels appear matter addressing arguments despite giving several sufficient opportunities court detailed order dated appointed two learned advocates panel legal services committee court represent appear appellant respondent respectively,fac
13876,8737,8956,pachanji drove cart first two carts without drivers formerly driven vaghji amarji kept middle pabaji two injured men cart driving cart last,fac
14516,5228,5308,notice demand u income tax act issued,fac
219,10069,10326,seeing incident grand father uncles complaint proceeding towards police station lodge complaint accused accosted assaulted also threatened public dire consequences intervened action,fac
2801,3959,4010,charge sheet containing fresh charges issued,fac
21742,970,1102,accused person stands charged offence u bihar orissa excise act illegal possession liquor,fac
3694,3503,3754,appellants filed appeal rule cpc praying set aside judgment decree passed dated file ii addl senior civil judge cjm mysuru dismiss suit plaintiff,fac
11750,2472,2602,also stated request accused search effected secure place away place interception,fac
6525,5619,5775,stated accused well state filed appeals court aforesaid judgment order special court,fac
3279,6597,6780,stated ita listed court time revenue sought leave file appeal itat 's first order dated th april,fac
16409,10595,10716,first accused leader left communist party also harijan kisans five neighbouring villages,fac
7787,6627,6765,plaintiff behalf examined p w examined scribe witnesses pronote cum consideration receipt p ws,fac
5755,5219,5395,fear p w started vehicle go mean time heard voice person seated driver seat help found person running towards,fac
3874,4517,4763,also conduct mandatory pre sanction verification address borrower firm ascertain whether business activities manufacturing electric equipment etc going claimed loan application,fac
22326,2642,2710,according saw appellant running towards east,fac
28491,2599,2686,course search found dry well bad odour emitting,fac
14122,7864,7945,decision tribunal unsuccessfully challenged high court,fac
28340,4047,4100,basis complaint case registered,fac
26305,2779,2969,may p two appellants accused ishtiaq khan went workshop faheem khan asked release aslam could work chand khan,fac
17275,2891,3203,order establish seizure p w deposed conducting patrolling duty along staff tileiknai area suspicion searched accused recovered one plastic jarkin containing liquid substance measurement found liters,fac
27899,2491,2670,evening o'clock complainant returned home found presence accused along wife accused house,fac
24983,3005,3144,however according ao assessee failed explain addition share application money five subscribers,fac
28906,6061,6165,several cases registered different police stations aligarh ghaziabad meerut khekra etc,fac
28785,4403,4460,st petitioner one son name girish,fac
12116,5432,5720,pw son deceased stated evidence day incident absent house gone outside wages return found dead body mother falling inside house severe bleeding injuries neck,fac
27904,3927,4145,since accused pleaded guilty order prove charges leveled accused prosecution examined fourteen witnesses pw pw got marked documents exhibits p p,fac
7817,11475,11591,denied suggestion exs p created witness collusion p w srinivasaiah,fac
19027,4494,4571,time complainant showed photo accused case,fac
11637,1805,1918,assessing authority accept land cost instead assessed assessed tax,fac
19938,2971,3114,appellant herein floated abhinav bharat ' organization year inspite serving commissioned officer armed forces,fac
22101,11288,11498,pw shri shakespeare kharjana deposed coming learn incident village public announcer took necessary steps amongst others inform police,fac
1054,4360,4416,complainant filed false complaint,fac
24424,17475,17522,presence pw another,fac
28361,7372,7619,submission perusal evidence without admitting act petitioner accused may attract provisions sections ipc considered serious eye law,fac
21762,3872,4048,another official witness pw excise constable like wise supported version p w respect patrolling seizure liquor possession accused,fac
22181,3821,3871,first information report exhibit,fac
16288,2104,2122,hence case,fac
26344,7864,7979,appellants accused persons pleaded guilty asserted falsely implicated,fac
17977,14059,14168,railway author ities extended railway area laying fresh track providing railway siding,fac
26050,3734,3964,thereafter respondent filed ten claims assistant commissioner division c bengaluru refund unutilized cenvat credit period july june rule cenvat credit rules,fac
5995,12659,12860,state received payment towards salary since july termination service effect question receiving salary arises,fac
13534,6612,6852,said order plaintiffs preferred rrt said appeal pending assistant commissioner suit instituted defendants plaintiffs pending,fac
24258,3582,3732,aggrieved assessment orders rejection rectification applications petitioner approached court w p nos,fac
7791,7125,7264,appellants defendants felt aggrieved said judgment decree preferred appeal following amongst grounds,fac
553,11426,11557,found aggregate amount develop ment rebate allowed company section vi b rs,fac
5034,5559,5847,could beard mr augustine transferred seems subordinate judge first class appointed place instead mr k k gujral subordinate judge fourth class sent area seems asked decide matter,fac
19956,5978,6067,question applicability mcoc act court observed,fac
19829,3866,3939,multiple pillets cork recovered preserved sealed,fac
23833,2193,2265,excise arrested accused forwarded court,fac
24613,14569,14692,reply affidavit filed behlaf appellants allegations made counter affidavit denied,fac
2833,9300,9492,tribunal relied upon para b regulations hold incumbent part authorities report offence civil police registration fir,fac
7767,3682,3804,registration suit summons issued defendants entered appearance counsels,fac
7117,7210,7516,completion investigation filed charge sheet accused nos offences punishable sections r w section p c section r w section bombay police act court judicial magistrate first class degloor,fac
11820,3404,3536,accordingly garnishee notices came issued per annexures demand notices raised per annexures,fac
5249,6924,7113,bhatia made complaint appellant april complainant carrying work satisfactorily affording facilities supervising work,fac
5949,1124,1421,th feb accused person left silchar presently residing uncle 's shri amiya kanta chakraborty house premtala silchar dist cachar state assam assumed service lecturer cachar college commerce dept silchar assam,fac
25860,6853,6917,according witness sunanda murdered property,fac
23417,8358,8463,daryao singh others already filed partition suit pending time occurrence,fac
14368,8066,8372,appellate tribunal hearing sides partly allowed second appeal vide order dated st march held period th august st march sale flavouring compound liable taxed rate covered schedule entry c ii,fac
9818,1714,1892,relevant house appellant adjoining house prosecutrix pw appellant visiting terms family prosecutrix pw,fac
13213,2793,2844,investigation charge sheet submitted,fac
4414,7916,8201,assessment year assessee filed return relating quarter ending commercial tax officer mahboobnagar central sales tax act even though last date submission return prescribed law,fac
9720,3338,3417,roshan priyanka also met fate died spot,fac
20220,10986,12095,order dated june ex j divisional commissioner rejected application extension time cancelled sale starting appellant one ' apply writing licences accordance r though deposited two months ' rent required r file statement immovable properties accordance r therefore considered person doubtful solvency therefore required deposit another months ' rent r furnish securities six months ' rental surety r ii iii failed comply r spite notices dated june ' june circular issued excise commissioner opposed r could acted upon even circular required give two months ' collateral security addition months ' cash deposit person doubtful solvency sale conducting officer power extend time compliance formalities,fac
10363,7019,7488,according section maharashtra scheduled castes scheduled tribes denotified tribes vimukta jatis nomadic tribes backward classes special backward category regulation issuance verification caste certificate act maharashtra act xxiii person authority performing function competent authority act intentionally issues false caste certificate shall conviction punished,fac
25841,5169,5248,appellant nilesh baburao gitte real son deceased sunanda,fac
11957,3107,3257,petitioner requested respondent take matrimonial house result respondent tortured physically mentally,fac
1528,3160,3177,transaction,fac
22742,3340,3396,trial commenced filing chargesheet,fac
28331,2137,2374,time one abhijith six others came black scorpio vehicle bearing regn ka n surrounded thereafter kidnapped car also threatened shout shouts kill,fac
12096,2844,2881,plea defence denial,fac
23483,13171,13209,punctured wound x ' x,fac
711,6079,6154,sukha fired gun hit parsia legs,fac
26330,6277,6283,sls,fac
8762,1401,1592,appeal filed revenue assailing order passed income tax appellate tribunal itat bangalore ita bang dated assessment year,fac
24695,3066,3301,appear judgment learned presidency magistrate though appellant seventeen years three months old date offence offence punishable imprisonment life,fac
20711,7397,7620,accordingly tribunal allowed rs loss sale shares dawn mills allow rs loss arising valuation dawn mills shares theend year account,fac
16286,1816,1893,hence seized presence witnesses prepared seizure list,fac
14105,4723,5013,appeal order income tax appellate tribunal delhi bench dated may tribunal reversing order appellate assistant commissioner held loss arising sale certain shares respondent company capital loss,fac
26639,1034,1273,medical council india mci recommended central government reject permission admission nd batch mbbs students academic year view deficiencies found assessment report,fac
26310,3730,3837,purpose two appellants went armed knives rest weapons including danda,fac
19245,3448,3522,high court answered question reproduced affirmative,fac
22056,5198,5246,proved postmortem report exhibit,fac
6127,6629,6851,names partners shares given nandlal bhuwalka girdharilal bhuwalka shyamlal bhuwalka bajranglal bhuwalka bawatmal nopany ranieshwarlal nopany,fac
6512,3645,3653,,fac
24593,11779,12014,fact late th october notification issued fourth respondent copy hereto annexed marked exh ' ' section said act giving effect representations,fac
17381,6925,7111,medical officer prepared post mortem notes noticed numerous injuries dead body deceased usha opined cause death due asphyxia due throttling,fac
13986,5621,5705,recovered knife blood stained doe found stained blood,fac
10024,3329,3679,petitions filed seeking bail crime kalaghatagi police station offences punishable sections b read section indian penal code hereinafter referred ipc ' brevity section arms act,fac
21759,3133,3612,analysis evidence record p w si excise deposed performing patrolling duty subdega bakupada area found accused coming road holding plastic jerry cane hand suspicion detained accused kalabati sa directed lady constable search search recovered five litres id liquor containing plastic jerry cane possession accused,fac
23470,12416,12436,left eye,fac
4237,15493,15547,dozing blood found nose mouth,fac
12277,2412,2464,judgment court delivered kapup j,fac
24701,4295,4559,appears provisions probation offenders act specifically brought notice high court sentence imprisonment maintained high court without applying mind provisions,fac
13524,5389,5473,thereafter plaintiffs became absolute owners suit schedule property,fac
18268,1448,1615,named accused stands charged offence punishable u indian penal code hereinafter short ipc along u arms act,fac
10792,6718,6811,incised wound cm x cm x skin deep left side back inner angle left scapula,fac
25945,14461,14572,witness denied instance sudhakar nagargoje dy p bhore making false statement,fac
3255,2731,2797,another similar notice issued section act,fac
16222,5103,5276,aggrieved aforementioned orders dated th september learned asj order rd december learned acmm itd filed present appeals,fac
18887,4764,4844,assessments returns filed completed august,fac
15141,4385,4523,meanwhile adjoining land owners intervened scuffle extricated first informant clutches applicant,fac
15146,4873,4887,,fac
13976,4341,4407,deceased charanjit living house adjacent houses,fac
10757,2116,2290,assailing order conviction sentence two appellants filed appeal invoking statutory right section criminal procedure code,fac
18941,3751,3890,account resistance put petitioners supported neighbours bailiff could execute decrees day,fac
1527,3149,3160,bccl,fac
24841,6394,6474,proceedings assessment cover period years,fac
25905,10831,10867,side right side back,fac
17283,4137,4257,absence independent corroboration evidence excise personnel prosecution case suspicious,fac
13247,5823,5858,intending go,fac
26642,1600,1729,recommendation college debarred making admissions next two academic sessions,fac
1170,8443,8934,plaintiff os prayed declare become absolute owner plaint schedule item properties death father maraiah directing defendant pay monthly rent respect plaint schedule item property plaintiff consequently restraining defendants interfering plaintiffs ' peaceful possession enjoyment plaint schedule item nos properties etc,fac
26672,6208,6542,executive committee respondent considered assessment report meeting held th september decided admissions th batch mbbs students year cancelled view following deficiencies found inspection conducted th th september,fac
21849,6569,6726,assistant collector held goods covered tariff item f percentage mineral fibre yarn predominant weight,fac
18428,2237,2473,demand since accused failed produce kind authentic document licence legitimising possession said liquor seized said liquor completion enquiry submitted p r accused,fac
11681,1701,1871,sixty hookers cells installed end installation unit together rectifier also completed year ended,fac
20231,13901,14052,k v niranjan filed affidavit stating appellant benamidar persons acceptance tender forbidden r,fac
28191,14364,14459,witness also stated identified accused nos police station,fac
18922,530,666,since facts case demonstrative said abuse perpetrated respondent would set first,fac
4426,9802,9916,order assessment passed beyond four years last day assessment year,fac
25856,6508,6620,witness came next day immersion asthi sunanda thereafter visited parali police station,fac
18661,3804,4048,assesee engaged manufacture petbottles industrial area barotiwalan district solan himachal pradesh ln earlier years e ay assessee claiming deduction u b respect industrial undertakimg,fac
4563,4014,4157,next morning around pw went appellant 's house enquire cause quarrel previous night,fac
13847,5901,5952,pachanji first cousin vaghji mansangji,fac
7173,18032,18210,far role played overt act attributed shivaji sopanrao pw concerned gets corroboration evidence inderbai pw dhanaji pw pundlik pw,fac
3590,9371,9441,offence registered section indian penal code,fac
28168,11607,11704,assaulting crying injured accused ran away spot,fac
686,2943,3043,persons killed p night st july number others injured,fac
14144,11611,11725,present case arises deal shares madhusudan mills ltd bombay assessee company,fac
5758,5612,5722,presence p w person also contacted owner vehicle intimating occurrence,fac
17372,6112,6210,complainant prosecution witness jayvant pratap members family went village mujvad,fac
11958,3258,3272,,fac
28796,5659,5932,z cf xaivai cfu îzgg vpgg z zj vpgg cfaiģ gĳz jpjq eirgvg crl pɼ aiʈaiī palĩp zd pz pa js pg palĩp aazsz ppgg maz jraii̇ aiivzg gp cx wgp du iv v q f pzairaii̇ jg qaiį cgvgvg jaz îzgg cfaiģ e irgvg dzg palĩp zd pz pa js,fac
19620,8075,8169,prove defence case falling exception preponderance probability,fac
17266,1689,1736,also conducted hydrometer test,fac
3023,1400,1596,pendency said petition respondent filed application restraining petitioner unlawful act entering house respondent,fac
19850,5766,5851,deceased surrounded accused near southern wall samshul 's house,fac
17732,5953,6033,journey including ferry trip ver broad ganges takes hours,fac
10795,7260,7369,dr gupta opined death due shock haemorrhage result injuries vital organs,fac
15144,4675,4760,thereafter first informant visited concerned police filed report,fac
8993,4751,5048,enquiries regarding claims made company losses transactions years commenced date filing application company settlement commission enquiries reached final stage even petition filed assessee,fac
4233,15048,15131,sangita could simply think committing suicide possession ext,fac
550,10594,10928,appellate assistant commissioner modi fied figure deemed dividend calculated income tax officer took highest amount advance made r assessee company particular point time year question amount dividend taxable hands assessee,fac
544,9625,9712,proceed state necessary facts determina tion question,fac
25678,4438,4521,defendant filed written statement admitting relationship plaintiff,fac
19491,5739,5851,orders rejection refund tax assailed writ petition assessee,fac
12130,7943,8287,stated evidence seized incriminating materials spot alongwith wearing apparel deceased apprehended accused sitting near dead body deceased arrested forwarded custody thereafter completion investigation submitted cs case,fac
4228,14682,14692,badmash,fac
4175,8844,8889,defence total denial,fac
8908,7944,8122,therefore without prejudice vacate order adjudication passed assistant collector central excice jabalpur emphasis supplied,fac
18656,3140,3299,said purported reasons read “ name address assessee sh ajay kumar sharma prop om shiva industries azad mara vivekanand puri,fac
3593,9587,9614,accused absconding,fac
22100,11191,11288,also expressed ignorance enmity accused appellant deceased,fac
5261,8727,8756,february,fac
20855,3084,3140,document proved produced defence,fac
1757,7009,7152,assessee took matter appeal assistant commissioner claiming portion income received british india,fac
19737,19627,19792,v evidence shows accused used hands throttling well rope strangulation ensure wife kamalbai survive,fac
24393,13361,13615,case prosecution deceased accused going truck ensued quarrel money matter appellant took iron screw driver gave blows head face deceased,fac
16428,13183,13223,moon light electric light,fac
9675,942,1837,brief facts case alleged complaint marriage complainant solemnized accused six years ago living cordially along husband parent laws said wedlock two children time marriage parents gave rs gms gold last two years husband parent laws insisted get rs auto otherwise going take away life subjected mental physical harassment though panchayath held months ago petitioners subjected harassment told come till gets money auto driven house months ago hence lodged complaint police police registered case petitioner others,fac
13540,7652,7877,defendants taking undue advantage mutation order mr started interfering possession plaintiffs executed sale agreement favour defendants,fac
24985,3317,3546,however appeal commissioner income tax appeals short “ cit ” deleted addition ground assessee proved existence shareholders genuineness transaction,fac
18946,4420,4661,submit obtaining said fraudulent decrees manner sought executed petitioners sought evicted shops result criminal conspiracy hatched third respondent,fac
4011,1214,1362,informant got information reliable source illegal preparation selling liquor going village madhupur,fac
10805,8685,8828,hearing voice shah alam kaisher khan came knives accompanied babar khan irshad khan started beating,fac
4631,14497,14614,regards question regarding mental status date commission offence stated “,fac
19330,1727,1797,petitioners manufacture pvc compounds pvc master batches etc,fac
13108,6111,6343,order dated th december dit set aside order adit holding “ assesse neither making available technical knowledge experience developing transferring technical plan design ”,fac
547,10111,10284,mutual open current account books company accounting year calendar year e commencing january ending december,fac
28360,7239,7371,perusal evidence complainant pw nowhere deposed threat life complainant,fac
18666,4854,5066,despite fact claim assessee respect manufacturing pet bottles article specified thirteenth schedule sr n assessee entitled deduction u c,fac
18128,4190,4343,appeal assessee opposed assessment order merits including order passed assessing officer exercising rectification powers,fac
23466,12273,12301,contusion x,fac
21352,1815,2035,case cc pending judicial magistrate first court thiruvellore tamil nadu non bailable warrant issued petitioner accused said public servants,fac
19331,1798,1879,pvc master batches predominantly pvc compounds pigment,fac
3892,9139,9362,cognizance taken concerned court application moved respondent seeking discharge terms sections code criminal procedure code ' short,fac
5971,7782,7921,accused even committed offence miscarriage compelling complainant undergo abortion twice free,fac
28114,3703,3781,case prosecution based part testimony pws,fac
931,10306,10478,per cent invoice value available drafts ninety days ' sight documents attached opened immediately london favour seller,fac
945,13495,13807,eastern bank ltd madras forwarded documents eastern bank ltd london used present bill exchange buyers ' bank london upon bill exchange accepted eastern bank ltd london used deliver bill lading invoice buyers ' bank,fac
6781,6054,6199,first appeal hereby confirm duty liability rs order recovery section c ex act,fac
1449,2868,3126,subsequently vinod kumar pw visited house complainant informed day incident around accusedappellant came house call informed nobody home,fac
5271,10166,10272,said also asked repair temple dharmshala refused work also,fac
4214,13125,13311,basis medical evidence high court felt necessity ascertain whether act pouring kerosene oil voluntarily victim act third person,fac
1741,4981,5042,government india known panel system,fac
19817,2124,2252,surrounded deceased md nadir sah jumma shot dead md chamru sahadat md jan alam noor alam,fac
23835,2389,2406,hence case,fac
26695,8085,8322,regulation permission establish medical college admit students may granted initially period one year may renewed yearly basis subject verification achievements annual targets,fac
7827,12605,12857,r p w corroborating version p w deposed deceased pradeep borrowed rs plaintiff presence executed demand pronote agreeing repay said amount interest,fac
4899,3547,3702,said appeal learned asj issued interim directions dated january depositing entire arrears maintenance within two months,fac
8651,3766,3891,estate area sq miles sq miles reserve forest sq miles protected forest,fac
555,11738,11894,appellate assistant commis sioner income tax treated entire sum rs amount accumulated profits possessed company,fac
26702,9534,9743,principal secretary medical division department government madhya pradesh respondent herein requested cancel admission students made college academic year,fac
19835,4308,4344,fracture ninth rib,fac
28145,8212,8444,dissection observed weapon cutting skin subcutaneous tissue underlying muscles pierced th th ribs pericardium cut left ventricle surface whole thickness,fac
9921,1095,1394,present appeal directed order dated passed income tax appellate tribunal bangalore bench b ' bangalore bench b ' bangalore hereinafter referred tribunal ' short ita nos bang raising following substantial questions law,fac
2549,4331,4398,appellate assistant commissioner appeal confirmed order,fac
22216,7407,7545,also identified signature seizure panchanama clarified nothing seized police presence,fac
2961,7849,8055,proceedings dated petitioners informed accepted date first sale plea date starting production rejected,fac
7798,8595,8703,learned trial judge definite stand passing impugned judgment relates surmises,fac
6187,18828,18917,commissioner filed appeal court order high court,fac
14735,6167,6241,deposed knowledge case,fac
15142,4524,4607,alleged clothes first informant torn fight,fac
26349,8537,8684,rafiouddin mohalla also invited function went house near house complainant accompany,fac
3155,6007,6029,colour index,fac
12816,3723,3765,either course ram prasad unwilling,fac
19615,7632,7691,therefore accused convicted u ipc,fac
3695,3756,3855,appellants defendants respondent plaintiff lower court,fac
3366,4100,4287,income tax officer brought entire amount tax declared dividend three years question grossed amounts income tax act,fac
13104,5337,5485,assistant director income tax „ adit‟ circle ii international transactions order dated th july declined application,fac
13849,6146,6184,accused residing bhalot,fac
9815,1150,1419,prosecution case seven months prior prosecutrix pw submitting oral report police dated appellant original accused caught hold prosecutrix gone nearby field answer nature 's call,fac
951,14569,14806,tribunal order dated nd january came conclusion sales took place outside british india money respect sales also received agent assessee company london,fac
10782,5988,6104,according p w two stab injuries found person likely caused pointed weapon,fac
23433,10416,10446,round swelling x,fac
7825,12289,12430,cross examination elicited deceased used mingle public used get loan company bank,fac
26484,4182,4261,bodies sent post mortem examination civil hospital sangli,fac
23825,1393,1458,suspicion excise detained search effected,fac
741,9357,9394,accused charged follows,fac
738,9240,9246,ganesh,fac
12650,3274,3538,commissioner income tax madras appealing decision madras high court reference indian income tax act hereinafter referred act obtaining certificate fitness high court,fac
19605,6186,6430,argued conduct accused time commission offence soon crime relevant determine whether legally insane whether case would fall exception section ipc,fac
5562,2404,2663,alleged subsequently one naveen shetty assaulted head face complainant threatened pay rs lakhs person going name going pay take away life,fac
4254,17017,17221,second visit deceased disclosed father madan lal members laws ' family beaten ill treated reason non fulfillment dowry articles,fac
23419,8626,8757,asa ram p w raghubira deceased bija p w asghar p w convicted sentenced life imprisonment,fac
10456,3137,3197,basis certificate appeal filed,fac
7789,6828,6905,defendant examined w document marked behalf,fac
27608,4362,4538,stated police requisition conducted autopsy dead body deceased found eyes closed conjunctiva pale cornea hazy,fac
23725,5815,5879,assessee entered agreements film distributors,fac
7776,4950,5101,deceased pradeep repaid rs towards interest instructed th defendant subscribe signature overleaf pronote,fac
27507,4323,4484,deduction provided new units established aforesaid states also existing units states substantial expansion carried,fac
26708,10612,10747,court took note order dated th august made admission students subject result inspection,fac
6510,3386,3519,accused wore clothes opened door quarreling mother prosecutrix left house,fac
15213,355,654,main question decision appeals connected matters whether block boards classified heading sub heading claimed revenue heading sub heading claimed manufacturers block boards,fac
17362,5224,5314,accused told would sent amount rs paid,fac
548,10285,10402,assessee accounting year withdrawn con siderable amounts money company 's account,fac
26738,15868,15966,mandatory stay hostel per assessor 's guide issued mci academic year,fac
12295,4418,4689,hearing noise growing deceased lahu vithu patil persons sleeping awakened one went informed brother deceased first information report made police names mentioned therein,fac
3886,6905,7108,intentionally omitted make endeavour ascertain nature rights tenants despite fact future would affect enforceability mortgaged property bank,fac
14947,11234,11276,j k shah given keys flat,fac
9549,3908,4021,matter went appeal tribunal confirmed order appellate assistant commissioner,fac
25887,9146,9382,doctor noticed following injuries person deceased evidence injury external genitals ii upper extremity flexed elbow joint iii fingers flexed iv lower extremity extended,fac
7175,18389,18565,far role played overt act attributed vijay sopanrao pw concerned gets corroboration evidence inderbai pw dhanaji pw pundlik pw,fac
28349,5290,5489,submission pursuance direction issued hon'ble apex court complainant got examined trial court pw subsequent dates,fac
19595,4369,4447,charge exh explained accused pleaded guilty,fac
6917,4053,4320,order dated cit allowed respondent 's appeal inter alia holding consideration received transfer trademark design aggregating rs crores chargeable capital gains tax self generated assest,fac
17991,16744,16957,application made revenue income tax appellate tribunal hereinaf ter referred tribunal referred question aforesaid high court income tax act,fac
5734,1750,1926,basing said report oic kinjirkela ps registered ps case dated u ipc read section arms act took investigation case,fac
4176,8889,9064,appears arguments prosecutor think proper press diffence punishable section read section indian penal code,fac
15873,3932,4040,injured rushed hunshikatti government hospital thereafter kle hospital belgaum,fac
7809,10418,10568,stated plaintiff order prove case examined p w defendant examined behalf p w,fac
4211,12685,12936,observing private parts deceased pancha stated private parts burnt injury ascertain actual cause death dead body sent civil surgeon murtizapur post mortem,fac
23608,2089,2312,appellant director kanwar enterprises pvt ltd granted rights excavate sand vide mining lease plot measuring acre plot measuring acre village nandni,fac
23823,1064,1071,,fac
14524,6363,6434,even st defendant kept disposing properties,fac
14729,5535,5642,lodged written report p proved said fir vide ext signature vide ext,fac
25863,7047,7142,admitted mutation entry made record respect family partition,fac
5559,1670,1813,gist complaint complainant open gate house park vehicle,fac
10759,2541,2778,aslam p w boy aged years working appellant chand khan business days incident present appeal arises left services joined set faheem khan,fac
22218,7622,7814,p w supported prosecution case one knife recovered instance appellant p w dr deepa examined p w issued medical certificate exhibit,fac
13201,1838,1951,accused carried girl nagpur meeting expenses treatment obtained rs father,fac
23467,12302,12360,right side edge iliac crest,fac
8228,3406,3447,said dismissed,fac
3896,10174,10306,thus materials clearly go show dishonest intention part accused inception,fac
25681,4728,4901,plaintiff relinquished right suit schedule property receiving rs father executed document effect,fac
26925,2980,3149,submitted complaint filed respondent police filed charge sheet basis complaint fir registered,fac
25847,5749,5819,police seized clothes drawing memorandum presence,fac
25831,4478,4529,memorandum accused balasaheb exhibit,fac
8963,629,777,raises certain important questions respect jurisdiction settlement commission chapter xix income tax act,fac
13250,5975,6051,gone hospital doctor present hospital,fac
17020,2908,3053,letter permission granted subject certain conditions imposed therein standard conditions contained annexure,fac
13354,8991,9129,khatoniar made enquiry investigation locally spot arrested accused muhim barkataki spot returned police station,fac
3865,2314,2339,allied technics,fac
26331,6283,6452,incised punctured wound cm x cm x chest cavity deep base left side neck cm left sterno clavicular joint direction downwards,fac
26733,15062,15110,however claim found incorrect,fac
19423,2715,2970,accused bachelor ayurvedic medicine surgery b qualified medical practitioner close friend one deceased ram swaroop upper division clerk madhya pradesh girls n c battalion gwalior,fac
730,8130,8199,sukha fired gun second time hit mana left hand,fac
5291,13114,13369,march appellant learnt cheque rs odd account tenth running bill prepared therefore asked payment bill also officer charge hand either cheques,fac
1059,4846,4948,intention complainant lodging complaint torture petitioners mentally,fac
14510,4179,4231,hence trust assessed status j p,fac
19581,3003,3116,initially remanded police custody thereafter remanded mcr,fac
13233,4886,4984,accused stated nobody stated allow committing sexual intercourse,fac
18891,5447,5599,question validity notices without approval commissioner appears raised tribunal first time,fac
16944,6192,6390,registrar firms granted registration certificate certificate kantilal kasherdeo shown full partner one entitled merely benefits partnership,fac
